node_index,region_name,module_label,strength,strength_z,participation_coefficient
0,7Networks_LH_Vis_1,0,7.94799478997502,-1.1579576582605933,0.7178662669955018
1,7Networks_LH_Vis_2,1,12.395255935794015,0.09661979905974274,0.4588437640368982
2,7Networks_LH_Vis_3,1,16.488409507267793,1.2513031045249414,0.5908325735246123
3,7Networks_LH_Vis_4,1,7.856265548219609,-1.18383458230667,0.32612998335752663
4,7Networks_LH_Vis_5,1,8.298661538913446,-1.0590341671893393,0.3116960810146788
5,7Networks_LH_Vis_6,1,15.766376419558643,1.047616744408466,0.6312094106579167
6,7Networks_LH_Vis_7,1,15.11511180313872,0.8638942510084653,0.6421599344729416
7,7Networks_LH_Vis_8,1,15.962467784113016,1.1029343426962086,0.5534883047702459
8,7Networks_LH_Vis_9,1,17.14453710753988,1.4363974512333482,0.592940959804618
9,7Networks_LH_SomMot_1,2,17.162392770939856,1.4414345543070393,0.48535261165474153
10,7Networks_LH_SomMot_2,2,16.646617723257172,1.2959338232606161,0.4000577537516221
11,7Networks_LH_SomMot_3,2,18.604422161171062,1.8482326951084367,0.333166221736801
12,7Networks_LH_SomMot_4,2,14.915714300135447,0.8076439872817547,0.40625433662858157
13,7Networks_LH_SomMot_5,2,15.83303375123595,1.0664208539368878,0.3690528688536313
14,7Networks_LH_SomMot_6,2,16.898026776163142,1.3668566047209794,0.32464473514315717
15,7Networks_LH_DorsAttn_Post_1,1,9.81122243510595,-0.6323390078615867,0.7214915707838785
16,7Networks_LH_DorsAttn_Post_2,2,16.317097945394295,1.2029759169238974,0.4638127919227647
17,7Networks_LH_DorsAttn_Post_3,3,12.19658781448419,0.040575294743235124,0.7314637616797254
18,7Networks_LH_DorsAttn_Post_4,2,16.38725567512551,1.2227674927481105,0.46429513765271846
19,7Networks_LH_DorsAttn_Post_5,4,9.418238739352528,-0.7432001580439158,0.7346654309027746
20,7Networks_LH_DorsAttn_Post_6,2,14.89035585778614,0.8004903416825736,0.46407076681711834
21,7Networks_LH_DorsAttn_PrCv_1,3,12.13896662420506,0.02432029104143432,0.589532880840242
22,7Networks_LH_DorsAttn_FEF_1,2,13.984038947606477,0.5448173044091507,0.5108299388770818
23,7Networks_LH_SalVentAttn_ParOper_1,2,13.879319439441252,0.5152758113467797,0.48993250055527193
24,7Networks_LH_SalVentAttn_FrOperIns_1,2,12.5434423445325,0.1384233545040503,0.5097396639272491
25,7Networks_LH_SalVentAttn_FrOperIns_2,2,14.2532296841793,0.6207563191758507,0.4451131658386047
26,7Networks_LH_SalVentAttn_PFCl_1,3,8.07207038375596,-1.1229557913008474,0.7056643013476236
27,7Networks_LH_SalVentAttn_Med_1,3,10.656974390504152,-0.39375141362401567,0.6751909706316046
28,7Networks_LH_SalVentAttn_Med_2,2,17.38193495839088,1.5033676565638723,0.552894467216728
29,7Networks_LH_SalVentAttn_Med_3,2,11.514132663103272,-0.15194608425416634,0.4416146456572072
30,7Networks_LH_Limbic_OFC_1,0,6.491657185352004,-1.5687921627118628,0.22190889133313274
31,7Networks_LH_Limbic_TempPole_1,0,5.835903614565701,-1.7537809952744055,0.2721326655262273
32,7Networks_LH_Limbic_TempPole_2,0,7.548394711848056,-1.2706852974802618,0.4850910079946319
33,7Networks_LH_Cont_Par_1,3,9.009973635979897,-0.8583722107989907,0.6689253225878703
34,7Networks_LH_Cont_PFCl_1,3,9.242982522768907,-0.7926401372517414,0.690429479604061
35,7Networks_LH_Cont_pCun_1,4,8.84034454594246,-0.9062247711701762,0.6061963514586448
36,7Networks_LH_Cont_Cing_1,4,9.58043553975555,-0.697444255081837,0.504105083862711
37,7Networks_LH_Default_Temp_1,0,9.37694016218389,-0.7548505339126429,0.5250636814009428
38,7Networks_LH_Default_Temp_2,0,7.797025539238637,-1.200546256616341,0.6184478013452129
39,7Networks_LH_Default_Par_1,0,10.290520183980357,-0.4971285645424374,0.6872698310644827
40,7Networks_LH_Default_Par_2,4,10.393530419092937,-0.46806925936378674,0.42088765922637306
41,7Networks_LH_Default_PFC_1,0,8.54490231902915,-0.9895693613961001,0.6496372189488935
42,7Networks_LH_Default_PFC_2,0,8.13754372927524,-1.1044856856221967,0.6255002250648543
43,7Networks_LH_Default_PFC_3,4,9.284487195588575,-0.7809316215640658,0.512489450587809
44,7Networks_LH_Default_PFC_4,0,6.682932151843894,-1.514833275827959,0.6133726988697292
45,7Networks_LH_Default_PFC_5,4,8.86424349106239,-0.8994828514092037,0.549528677658526
46,7Networks_LH_Default_PFC_6,4,8.360261539354813,-1.0416567365886389,0.6018082012680044
47,7Networks_LH_Default_PFC_7,4,9.038372707943529,-0.8503608001068423,0.5126144196368779
48,7Networks_LH_Default_pCunPCC_1,4,11.228611595489228,-0.23249190409102855,0.5987384394293332
49,7Networks_LH_Default_pCunPCC_2,4,11.35894494054412,-0.19572471833744545,0.32025486456063845
50,7Networks_RH_Vis_1,0,8.341982630054858,-1.0468132378149468,0.6872620580959782
51,7Networks_RH_Vis_2,1,15.361730834459047,0.9334657618992837,0.5391890573700212
52,7Networks_RH_Vis_3,1,11.473166227574058,-0.1635027625864106,0.6204988912288909
53,7Networks_RH_Vis_4,1,7.083372585858769,-1.4018685712508643,0.2835314760417713
54,7Networks_RH_Vis_5,1,13.947979577846969,0.5346449149446848,0.5658433160036745
55,7Networks_RH_Vis_6,1,17.874759780199195,1.6423941026339204,0.6409732133994022
56,7Networks_RH_Vis_7,1,15.108080712303764,0.8619107722396951,0.5651155899839762
57,7Networks_RH_Vis_8,1,15.688530169676598,1.0256562282533137,0.5476496141616058
58,7Networks_RH_SomMot_1,2,17.15213290919278,1.4385402355699426,0.47356473575488434
59,7Networks_RH_SomMot_2,2,17.00632451441153,1.3974075205836427,0.37373069128279335
60,7Networks_RH_SomMot_3,2,16.64305265767549,1.2949281141812534,0.3220308001463932
61,7Networks_RH_SomMot_4,2,14.376974093913347,0.6556647587370624,0.40698897559808844
62,7Networks_RH_SomMot_5,2,16.06632966859594,1.1322338991366006,0.3840607173525288
63,7Networks_RH_SomMot_6,2,14.807228536160716,0.7770400291465714,0.37883659522856516
